Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Pedalumdrehungen insgesamt,Body Battery Abnahme ((no dash)),Minimale Temperatur,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Rennradfahren,2025-06-18 17:24:25,false,"Signau Rennradfahren","14.18","280","00:37:47","116","143","1.6","22.5","34.5","41","127","--","--","--","0.0","--","--","--","--","--","27.0","Nein","00:00:44.3","15","31.0","25","19","31","00:37:43","00:37:47","588","693"
Rennradfahren,2025-06-18 07:24:14,false,"Hasle bei Burgdorf Rennradfahren","19.80","444","00:57:46","124","157","2.5","20.6","48.2","202","235","--","--","--","0.0","--","--","--","--","--","15.0","Nein","00:01:28.3","20","22.0","25","11","35","00:57:40","00:57:46","564","697"
Rennradfahren,2025-06-17 20:22:10,false,"Hasle bei Burgdorf Rennradfahren","22.08","507","00:55:14","132","175","3.0","24.0","51.9","139","140","--","--","--","0.0","--","--","--","--","--","19.0","Nein","00:00:14.0","23","26.0","29","17","43","00:55:10","00:55:27","549","643"
Rennradfahren,2025-06-16 14:23:57,false,"Hasle bei Burgdorf Rennradfahren","2.52","75","00:09:44.5","114","149","1.1","15.5","25.5","39","30","--","--","--","0.0","--","--","--","--","--","28.0","Nein","00:01:37.3","3","38.0","24","13","35","00:09:42.2","00:09:44.5","587","617"
Rennradfahren,2025-06-16 12:48:29,false,"Hasle bei Burgdorf Rennradfahren","3.05","66","00:12:46","97","145","0.7","14.3","31.6","34","42","--","--","--","0.0","--","--","--","--","--","21.0","Nein","00:00:07.6","4","31.0","21","13","33","00:12:46","00:13:05","586","620"
Rennradfahren,2025-06-16 08:52:15,false,"Goldzoll","12.68","377","00:32:02","143","178","3.1","23.7","51.3","149","150","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:01:34.0","13","24.0","35","19","47","00:32:01","00:32:02","586","717"
Radfahren,2025-06-14 11:54:24,false,"Rüderswil Radfahren","6.63","105","00:30:11","81","101","0.1","13.2","24.3","12","45","--","--","--","0.0","--","--","--","--","-3","--","Nein","00:08:55.0","2","--","--","--","--","00:27:41","00:42:49","581","617"
Radfahren,2025-06-13 15:29:22,false,"Hasle bei Burgdorf Radfahren","2.76","63","00:10:30","111","144","0.7","15.7","25.2","31","8","--","--","--","0.0","--","--","--","--","-1","--","Nein","00:04:55","2","--","--","--","--","00:09:36","00:10:48","573","600"
Radfahren,2025-06-13 15:08:08,false,"Lützelflüh Radfahren","2.88","57","00:09:32.6","100","109","0.2","18.1","25.1","2","18","--","--","--","0.0","--","--","--","--","-1","--","Nein","00:09:32.6","1","--","--","--","--","00:09:10","00:09:33.1","574","586"
Rennradfahren,2025-06-13 13:33:06,false,"Hasle bei Burgdorf Rennradfahren","23.36","580","01:06:55","125","162","2.8","20.9","52.0","177","186","--","--","--","0.0","--","--","--","--","--","30.0","Nein","00:01:17.0","24","40.0","--","--","--","01:06:52","01:06:59","544","633"
Radfahren,2025-06-11 22:08:20,false,"Rüegsau Radfahren","2.97","63","00:08:51.4","106","130","0.4","20.2","34.4","35","9","--","--","--","0.0","--","--","--","--","-1","--","Nein","00:08:51.4","1","--","--","--","--","00:08:47","00:08:51.4","567","597"
Radfahren,2025-06-11 18:41:40,false,"Lützelflüh Radfahren","4.54","34","00:13:38","115","162","1.1","20.0","34.2","26","42","--","--","--","0.0","--","--","--","--","-1","--","Nein","00:13:38","1","--","--","--","--","00:13:02","00:19:22","570","599"
Radfahren,2025-06-11 17:30:05,false,"Burgdorf Radfahren","9.43","232","00:28:50","116","133","1.4","19.6","29.2","65","11","--","--","--","0.0","--","--","--","--","-3","--","Nein","00:14:04","2","--","--","--","--","00:28:36","00:28:50","530","588"
Radfahren,2025-06-11 08:01:58,false,"Lützelflüh Radfahren","10.21","171","00:29:12","102","126","0.6","21.0","32.5","21","78","--","--","--","0.0","--","--","--","--","-5","--","Nein","00:02:17.6","3","--","--","--","--","00:27:22","00:29:12","533","598"
Rennradfahren,2025-06-10 20:47:24,false,"Hasle bei Burgdorf Rennradfahren","17.08","421","00:43:40","130","166","2.8","23.5","49.8","119","119","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:00:15.7","18","24.0","--","--","--","00:43:36","00:43:40","584","643"
Rennradfahren,2025-06-06 08:14:09,false,"Hasle bei Burgdorf Rennradfahren","50.19","1,191","02:00:03","135","163","3.4","25.1","38.3","257","258","--","--","--","0.0","--","--","--","--","--","18.0","Nein","00:00:26.8","51","25.0","29","16","40","01:59:40","02:22:01","543","680"
Radfahren,2025-06-05 19:13:53,false,"Hasle bei Burgdorf Radfahren","2.28","45","00:05:53.3","108","117","0.3","23.2","33.2","3","16","--","--","--","0.0","--","--","--","--","-1","--","Nein","00:05:53.3","1","--","--","--","--","00:05:36","00:05:53.3","569","585"
Radfahren,2025-06-04 08:43:57,false,"Worb Radfahren","5.35","124","00:14:26","119","162","1.7","22.2","35.2","50","58","--","--","--","0.0","--","--","--","--","--","--","Nein","00:01:15.0","2","--","--","--","--","00:14:09","00:14:26","566","619"
Rennradfahren,2025-06-02 10:12:41,false,"Hasle bei Burgdorf Rennradfahren","16.01","508","00:47:48","137","167","3.5","20.1","59.1","304","301","--","--","--","0.0","--","--","--","--","--","19.0","Nein","00:00:05.3","17","25.0","30","12","41","00:47:42","00:48:24","600","905"
Rennradfahren,2025-06-01 19:45:15,false,"Hasle bei Burgdorf Rennradfahren","10.92","316","00:35:06","115","145","1.9","18.7","33.9","111","107","--","--","--","0.0","--","--","--","--","--","20.0","Nein","00:01:56.3","11","26.0","--","--","--","00:35:01","00:35:06","574","645"
Rennradfahren,2025-05-29 14:08:53,false,"Parents","25.25","685","01:07:27","136","174","3.6","22.5","53.0","355","419","--","--","--","0.0","--","--","--","--","--","23.0","Nein","00:00:44.6","26","30.0","31","19","44","01:07:18","01:07:52","535","839"
Rennradfahren,2025-05-26 18:11:42,false,"Rüderswil Rennradfahren","6.79","167","00:18:21","118","153","1.4","22.2","29.4","24","47","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:02:13.9","7","19.0","25","19","33","00:18:17","00:18:29","589","625"
